2023-12-10 19:11:00,831 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 19:14:43,823 INFO step 86: tp = 10.0, fp = 8.0, tn = 6.0, fn = 8.0, acc = 0.5000, mcc = -0.015873 
2023-12-10 19:14:44,495 INFO step 87: tp = 4.0, fp = 8.0, tn = 10.0, fn = 10.0, acc = 0.4375, mcc = -0.162650 
2023-12-10 19:14:45,353 INFO step 88: tp = 8.0, fp = 7.0, tn = 9.0, fn = 8.0, acc = 0.5312, mcc = 0.062622 
2023-12-10 19:14:45,936 INFO step 89: tp = 10.0, fp = 6.0, tn = 8.0, fn = 8.0, acc = 0.5625, mcc = 0.125988 
2023-12-10 19:14:46,645 INFO step 90: tp = 10.0, fp = 6.0, tn = 5.0, fn = 11.0, acc = 0.4688, mcc = -0.065795 
2023-12-10 19:14:47,297 INFO step 91: tp = 8.0, fp = 10.0, tn = 7.0, fn = 7.0, acc = 0.4688, mcc = -0.055228 
2023-12-10 19:14:47,986 INFO step 92: tp = 5.0, fp = 10.0, tn = 7.0, fn = 10.0, acc = 0.3750, mcc = -0.254902 
2023-12-10 19:14:48,896 INFO step 93: tp = 4.0, fp = 5.0, tn = 12.0, fn = 11.0, acc = 0.5000, mcc = -0.030468 
2023-12-10 19:14:49,701 INFO step 94: tp = 13.0, fp = 2.0, tn = 10.0, fn = 7.0, acc = 0.7188, mcc = 0.468902 
2023-12-10 19:14:50,424 INFO step 95: tp = 6.0, fp = 6.0, tn = 10.0, fn = 10.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 19:14:51,215 INFO step 96: tp = 7.0, fp = 9.0, tn = 9.0, fn = 7.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 19:14:51,996 INFO step 97: tp = 10.0, fp = 11.0, tn = 5.0, fn = 6.0, acc = 0.4688, mcc = -0.065795 
2023-12-10 19:14:52,675 INFO step 98: tp = 4.0, fp = 14.0, tn = 5.0, fn = 9.0, acc = 0.2812, mcc = -0.424871 
2023-12-10 19:14:53,378 INFO step 99: tp = 6.0, fp = 7.0, tn = 8.0, fn = 11.0, acc = 0.4375, mcc = -0.115553 
2023-12-10 19:14:54,113 INFO step 100: tp = 7.0, fp = 6.0, tn = 6.0, fn = 13.0, acc = 0.4062, mcc = -0.147859 
2023-12-10 19:14:54,242 INFO step/epoch: 100/1, training samples: 3232, train_loss = 11.3041 train_acc = 0.492265
2023-12-10 19:14:54,797 INFO step 101: tp = 13.0, fp = 10.0, tn = 3.0, fn = 6.0, acc = 0.5000, mcc = -0.092872 
2023-12-10 19:14:55,523 INFO step 102: tp = 10.0, fp = 5.0, tn = 10.0, fn = 7.0, acc = 0.6250, mcc = 0.254902 
2023-12-10 19:14:56,304 INFO step 103: tp = 9.0, fp = 11.0, tn = 5.0, fn = 7.0, acc = 0.4375, mcc = -0.129099 
2023-12-10 19:14:57,141 INFO step 104: tp = 11.0, fp = 5.0, tn = 10.0, fn = 6.0, acc = 0.6562, mcc = 0.313112 
2023-12-10 19:14:57,911 INFO step 105: tp = 11.0, fp = 6.0, tn = 9.0, fn = 6.0, acc = 0.6250, mcc = 0.247059 
2023-12-10 19:14:58,641 INFO step 106: tp = 7.0, fp = 8.0, tn = 8.0, fn = 9.0, acc = 0.4688, mcc = -0.062622 
2023-12-10 19:14:59,235 INFO step 107: tp = 12.0, fp = 5.0, tn = 6.0, fn = 9.0, acc = 0.5625, mcc = 0.111247 
2023-12-10 19:14:59,855 INFO step 108: tp = 12.0, fp = 8.0, tn = 6.0, fn = 6.0, acc = 0.5625, mcc = 0.097590 
2023-12-10 19:15:00,531 INFO step 109: tp = 11.0, fp = 3.0, tn = 9.0, fn = 9.0, acc = 0.6250, mcc = 0.292770 
2023-12-10 19:15:01,271 INFO step 110: tp = 11.0, fp = 11.0, tn = 6.0, fn = 4.0, acc = 0.5312, mcc = 0.092884 
2023-12-10 19:15:01,922 INFO step 111: tp = 15.0, fp = 8.0, tn = 3.0, fn = 6.0, acc = 0.5625, mcc = -0.013719 
2023-12-10 19:15:02,572 INFO step 112: tp = 8.0, fp = 13.0, tn = 6.0, fn = 5.0, acc = 0.4375, mcc = -0.071170 
2023-12-10 19:15:03,115 INFO step 113: tp = 8.0, fp = 18.0, tn = 2.0, fn = 4.0, acc = 0.3125, mcc = -0.289414 
2023-12-10 19:15:03,763 INFO step 114: tp = 10.0, fp = 13.0, tn = 6.0, fn = 3.0, acc = 0.5000, mcc = 0.092872 
2023-12-10 19:15:04,381 INFO step 115: tp = 12.0, fp = 11.0, tn = 4.0, fn = 5.0, acc = 0.5000, mcc = -0.030468 
2023-12-10 19:15:04,905 INFO step 116: tp = 8.0, fp = 13.0, tn = 5.0, fn = 6.0, acc = 0.4062, mcc = -0.157499 
2023-12-10 19:15:05,492 INFO step 117: tp = 8.0, fp = 10.0, tn = 6.0, fn = 8.0, acc = 0.4375, mcc = -0.125988 
